,count,mean,std,min,25%,50%,75%,max
gameId,9879.0,4500084044.8455305,27573278.4909154,4295358071.0,4483301169.0,4510920346.0,4521733208.5,4527990640.0
blueWins,9879.0,0.4990383642069035,0.5000243833353948,0.0,0.0,0.0,1.0,1.0
blueFirstBlood,9879.0,0.5048081789654824,0.5000021878367945,0.0,0.0,1.0,1.0,1.0
kills_diff,9879.0,0.04625974288895637,4.195489475545229,-17.0,-3.0,0.0,3.0,16.0
deaths_diff,9879.0,-0.04625974288895637,4.195489475545229,-16.0,-3.0,0.0,3.0,17.0
assists_diff,9879.0,-0.01700576981475858,5.766787276822319,-25.0,-4.0,0.0,4.0,23.0
towersdestroyed_diff,9879.0,0.008401660087053345,0.32483469750919364,-2.0,0.0,0.0,0.0,4.0
dragons_diff,9879.0,-0.05111853426460168,0.8789445632529708,-1.0,-1.0,0.0,1.0,1.0
heralds_diff,9879.0,0.027938050409960523,0.5892924142670941,-1.0,0.0,0.0,0.0,1.0
elitemonsters_diff,9879.0,-0.023180483854641158,1.0679340149348355,-2.0,-1.0,0.0,1.0,2.0
wardsplaced_diff,9879.0,-0.07966393359651787,25.960582484455138,-260.0,-4.0,0.0,4.0,234.0
wardsdestroyed_diff,9879.0,0.10173094442757365,2.8549102069983414,-23.0,-1.0,0.0,1.0,23.0
totalgold_diff,9879.0,14.414110739953436,2453.3491794034267,-10830.0,-1585.5,14.0,1596.0,11467.0
first_blood_flag,9879.0,0.5048081789654824,0.5000021878367945,0.0,0.0,1.0,1.0,1.0
